participant_id	trial_type	stop_signal_delay	go_reaction_time	correct_go	successful_stop
sub-24017	Stop	0.750	0.000	0	0
sub-24017	Stop	0.800	0.000	0	1
sub-24017	Go	n/a	0.700	0	n/a
sub-24017	Go	n/a	0.452	1	n/a
sub-24017	Stop	0.750	0.000	0	0
sub-24017	Go	n/a	0.233	1	n/a
sub-24017	Stop	0.800	0.000	0	0
sub-24017	Stop	0.850	0.000	0	0
sub-24017	Go	n/a	0.450	1	n/a
sub-24017	Go	n/a	0.490	1	n/a
sub-24017	Go	n/a	0.361	1	n/a
sub-24017	Go	n/a	0.411	1	n/a
sub-24017	Go	n/a	0.353	1	n/a
sub-24017	Stop	0.900	0.000	0	0
sub-24017	Go	n/a	0.420	1	n/a
sub-24017	Go	n/a	0.407	1	n/a
sub-24017	Go	n/a	0.479	0	n/a
sub-24017	Go	n/a	0.380	1	n/a
sub-24017	Go	n/a	0.268	1	n/a
sub-24017	Stop	0.750	0.000	0	0
sub-24017	Go	n/a	0.200	1	n/a
sub-24017	Go	n/a	0.388	1	n/a
sub-24017	Go	n/a	0.243	1	n/a
sub-24017	Stop	0.800	0.000	0	0
sub-24017	Go	n/a	0.490	1	n/a
sub-24017	Stop	0.850	0.000	0	0
sub-24017	Stop	0.900	0.000	0	0
sub-24017	Go	n/a	0.669	1	n/a
sub-24017	Go	n/a	0.464	1	n/a
sub-24017	Stop	0.950	0.000	0	0
sub-24017	Stop	1.000	0.000	0	0
sub-24017	Go	n/a	0.658	1	n/a
sub-24017	Stop	1.000	0.000	0	1
sub-24017	Stop	0.950	0.000	0	1
sub-24017	Go	n/a	0.432	1	n/a
sub-24017	Go	n/a	0.346	1	n/a
sub-24017	Go	n/a	0.485	1	n/a
sub-24017	Go	n/a	0.424	1	n/a
sub-24017	Go	n/a	0.281	1	n/a
sub-24017	Go	n/a	0.407	1	n/a
sub-24017	Stop	0.900	0.000	0	0
sub-24017	Stop	0.950	0.000	0	1
sub-24017	Go	n/a	0.480	1	n/a
sub-24017	Go	n/a	0.367	1	n/a
sub-24017	Go	n/a	0.655	1	n/a
sub-24017	Go	n/a	0.230	0	n/a
sub-24017	Stop	0.900	0.000	0	0
sub-24017	Go	n/a	0.464	1	n/a
sub-24017	Stop	0.950	0.000	0	0
sub-24017	Go	n/a	0.260	1	n/a
sub-24017	Go	n/a	0.610	1	n/a
sub-24017	Go	n/a	0.406	1	n/a
sub-24017	Go	n/a	0.703	1	n/a
sub-24017	Stop	1.000	0.000	0	1
sub-24017	Stop	0.950	0.000	0	0
sub-24017	Go	n/a	0.548	1	n/a
sub-24017	Go	n/a	0.551	1	n/a
sub-24017	Go	n/a	0.469	1	n/a
sub-24017	Go	n/a	0.434	1	n/a
sub-24017	Go	n/a	0.794	1	n/a
sub-24017	Stop	1.000	0.000	0	0
sub-24017	Go	n/a	0.649	1	n/a
sub-24017	Go	n/a	0.398	1	n/a
sub-24017	Go	n/a	0.413	1	n/a
sub-24017	Go	n/a	0.399	1	n/a
sub-24017	Go	n/a	0.466	1	n/a
sub-24017	Go	n/a	0.723	1	n/a
sub-24017	Go	n/a	0.434	1	n/a
sub-24017	Go	n/a	0.473	1	n/a
sub-24017	Go	n/a	0.374	1	n/a
sub-24017	Go	n/a	0.358	1	n/a
sub-24017	Go	n/a	0.374	0	n/a
sub-24017	Go	n/a	0.340	0	n/a
sub-24017	Go	n/a	0.445	1	n/a
sub-24017	Go	n/a	0.460	1	n/a
sub-24017	Go	n/a	0.471	1	n/a
sub-24017	Go	n/a	0.434	1	n/a
sub-24017	Go	n/a	0.347	1	n/a
sub-24017	Go	n/a	0.405	1	n/a
sub-24017	Go	n/a	0.276	1	n/a
sub-24017	Go	n/a	0.541	1	n/a
sub-24017	Stop	1.000	0.000	0	0
sub-24017	Go	n/a	0.442	1	n/a
sub-24017	Go	n/a	0.436	1	n/a
sub-24017	Go	n/a	0.319	1	n/a
sub-24017	Stop	1.000	0.000	0	0
sub-24017	Go	n/a	0.337	1	n/a
sub-24017	Go	n/a	0.514	1	n/a
sub-24017	Stop	1.000	0.000	0	1
sub-24017	Go	n/a	0.449	1	n/a
sub-24017	Stop	0.950	0.000	0	0
sub-24017	Go	n/a	0.336	1	n/a
sub-24017	Go	n/a	0.388	0	n/a
sub-24017	Stop	1.000	0.000	0	0
sub-24017	Go	n/a	0.476	0	n/a
sub-24017	Go	n/a	0.000	0	n/a
sub-24017	Stop	1.000	0.000	0	0
sub-24017	Go	n/a	0.433	1	n/a
sub-24017	Go	n/a	0.561	1	n/a
sub-24017	Go	n/a	0.445	1	n/a
sub-24017	Go	n/a	0.398	1	n/a
sub-24017	Stop	1.000	0.000	0	0
sub-24017	Go	n/a	0.379	1	n/a
sub-24017	Go	n/a	0.380	1	n/a
sub-24017	Stop	0.750	0.000	0	0
sub-24017	Go	n/a	0.349	1	n/a
sub-24017	Stop	0.800	0.000	0	0
sub-24017	Go	n/a	0.400	1	n/a
sub-24017	Go	n/a	0.351	1	n/a
sub-24017	Stop	0.850	0.000	0	0
sub-24017	Stop	0.900	0.000	0	0
sub-24017	Go	n/a	0.359	1	n/a
sub-24017	Go	n/a	0.550	1	n/a
sub-24017	Stop	0.950	0.000	0	1
sub-24017	Go	n/a	0.508	1	n/a
sub-24017	Go	n/a	0.373	1	n/a
sub-24017	Go	n/a	0.418	1	n/a
sub-24017	Go	n/a	0.375	1	n/a
sub-24017	Go	n/a	0.289	1	n/a
sub-24017	Stop	0.900	0.000	0	0
sub-24017	Go	n/a	0.389	1	n/a
sub-24017	Stop	0.950	0.000	0	0
sub-24017	Stop	1.000	0.000	0	0
sub-24017	Stop	1.000	0.000	0	1
sub-24017	Go	n/a	0.454	1	n/a
sub-24017	Go	n/a	0.407	1	n/a
sub-24017	Go	n/a	0.572	1	n/a
sub-24017	Stop	0.950	0.000	0	0
sub-24017	Go	n/a	0.530	1	n/a
sub-24017	Go	n/a	0.400	0	n/a
sub-24017	Go	n/a	0.277	1	n/a
sub-24017	Go	n/a	0.439	1	n/a
sub-24017	Stop	1.000	0.000	0	0
sub-24017	Go	n/a	0.505	1	n/a
sub-24017	Go	n/a	0.465	1	n/a
sub-24017	Go	n/a	0.315	1	n/a
sub-24017	Stop	1.000	0.000	0	1
sub-24017	Go	n/a	0.272	1	n/a
sub-24017	Stop	0.950	0.000	0	0
sub-24017	Stop	1.000	0.000	0	0
sub-24017	Go	n/a	0.513	1	n/a
sub-24017	Stop	1.000	0.000	0	1
sub-24017	Go	n/a	0.484	1	n/a
sub-24017	Go	n/a	0.000	0	n/a
sub-24017	Go	n/a	0.570	1	n/a
sub-24017	Go	n/a	0.348	1	n/a
sub-24017	Go	n/a	0.361	1	n/a
sub-24017	Go	n/a	0.306	1	n/a
sub-24017	Go	n/a	0.269	1	n/a
sub-24017	Go	n/a	0.252	1	n/a
sub-24017	Go	n/a	0.458	1	n/a
sub-24017	Go	n/a	0.279	1	n/a
sub-24017	Go	n/a	0.289	0	n/a
sub-24017	Go	n/a	0.371	1	n/a
sub-24017	Go	n/a	0.302	1	n/a
sub-24017	Go	n/a	0.239	0	n/a
sub-24017	Go	n/a	0.359	1	n/a
sub-24017	Go	n/a	0.368	1	n/a
sub-24017	Go	n/a	0.311	0	n/a
sub-24017	Go	n/a	0.374	1	n/a
sub-24017	Go	n/a	0.310	1	n/a
sub-24017	Go	n/a	0.339	0	n/a
sub-24017	Go	n/a	0.408	1	n/a
sub-24017	Go	n/a	0.351	1	n/a
sub-24017	Stop	0.950	0.000	0	0
sub-24017	Go	n/a	0.753	1	n/a
sub-24017	Go	n/a	0.362	1	n/a
sub-24017	Stop	1.000	0.000	0	1
sub-24017	Go	n/a	0.385	1	n/a
sub-24017	Go	n/a	0.403	1	n/a
sub-24017	Go	n/a	0.297	1	n/a
sub-24017	Go	n/a	0.279	1	n/a
sub-24017	Go	n/a	0.761	1	n/a
sub-24017	Go	n/a	0.338	1	n/a
sub-24017	Go	n/a	0.368	1	n/a
